"cand_NILme","age","gender","cat","Party_cd","nomi_status","candi_des","Ward_no","votes","FiNIL_lock","mStatus","Education","OccuPation","","","","","","","","","","","","","","","","","","","","",""
"Virendra KuP.G..r ","39","M","UR","5","Y","P","12","150","Y","M ","S ","SERVICE","","","","","","","","","","","","","","","","","","","","",""
"noorjahan sah","42	","F","OBC","5","Y","P","11","248","Y","M ","S","LABOUR","","","","","","","","","","","","","","","","","","","","",""
"GYANSHRI RAGHUVEER JATAV","40","F","SC","5","Y","P","5","160","Y","M ","P","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"Pankaj","33","M","UR","89","Y","P","25","941","Y","M ","H.S.","BUSINESS","","","","","","","","","","","","","","","","","","","","",""
"Ahirwar BhuP.G..nee Gi","44","F","SC","5","Y","P","2","82","Y","M ","I.L","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"Ahirwar BhuP.G..nee Gi","44","F","SC","5","Y","P","2","82","Y","M ","I.L","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"USHA VANSHKAR ","29","F","SC","5","Y","P","10","280","Y","M ","P","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"MUKESH.S.INGH KUSHWAH","32","M","OBC","2","Y","P","2","119","Y","M ","P ","LABOUR ","","","","","","","","","","","","","","","","","","","","",""
"Devesh Chaurasiya","37","M","OBC","5","Y","P","8","100","Y","U","P","LABOUR","","","","","","","","","","","","","","","","","","","","",""
"GUDDI GI","40","F","UR","2","Y","P","20","489","Y","M ","I.L.","NIL","","","","","","","","","","","","","","","","","","","","",""
"SUSHIL KUP.G..R","39","M","OBC","5","Y","P","8","166","Y","M ","S","LABOUR","","","","","","","","","","","","","","","","","","","","",""
"SANGEETA BHAVSINGH","33","F","OBC","5","Y","P","24","501","Y","M ","I.L.","NIL","","","","","","","","","","","","","","","","","","","","",""
"SAFIYA PARVEEN","36","F","UR","5","Y","P","11","1488","Y","M ","H.S.","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"DHARMENDRA","24","M","SC","89","Y","P","3","42","Y","M ","G","LABOUR ","","","","","","","","","","","","","","","","","","","","",""
"P.G..dhav Singh","34","M","OBC","10","Y","P","23","165","Y","M ","H.S.","BUSINESS","","","","","","","","","","","","","","","","","","","","",""
"USHA","42","F","OBC","89","Y","P","5","176","Y","M ","I.L","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"shriP.G..ti PaPPee saket ","39","F","SC","2","Y","P","7","164","Y","M ","P","LABOUR","","","","","","","","","","","","","","","","","","","","",""
"PRABHUDAYAL RAJAK","47","M","OBC","6","Y","P","42","79","Y","M ","H.S.","BUSINESS","","","","","","","","","","","","","","","","","","","","",""
"GEETA","57","F","OBC","89","Y","P","1","129","Y","M ","L ","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"P.G..NOJ","44","M","UR","2","W","P","10","NULL","NULL","M ","H.S. ","BUSINESS","","","","","","","","","","","","","","","","","","","","",""
"Sunita","38","F","OBC","2","Y","P","8","85","Y","M ","H.S.","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"Rekha Lohiya","30","F","SC","5","W","P","30","NULL","NULL","M ","S ","BUSINESS","","","","","","","","","","","","","","","","","","","","",""
"Harishandra Rekwar","52","M","OBC","5","Y","P","14","75","Y","M ","H.S.","FARMER","","","","","","","","","","","","","","","","","","","","",""
"SAROJ AHIRWAR ","34","F","SC","5","Y","P","11","64","Y","M ","H.S.","NIL","","","","","","","","","","","","","","","","","","","","",""
