"cand_NILme","age","gender","cat","Party_cd","nomi_status","candi_des","Ward_no","votes","FiNIL_lock","mStatus","Education","OccuPation","","","","","","","","","","","","","","","","","","","","",""
"Govind Chourasiya","51","M","OBC","2","Y","P","5","220","Y","M ","H.S.","LABOUR ","","","","","","","","","","","","","","","","","","","","",""
"raP.G..Gi","45","F","OBC","5","W","A","NULL","NULL","NULL","M ","NIL","NIL","","","","","","","","","","","","","","","","","","","","",""
"AKRAM KHAN","44","M","UR","2","Y","P","12","729","Y","M ","P","SERVICE","","","","","","","","","","","","","","","","","","","","",""
"sanjay ","39","M","SC","1","Y","P","32","133","Y","M ","H.S.","NIL","","","","","","","","","","","","","","","","","","","","",""
"SUNIL KUP.G..R LODHI ","38","M","OBC","2","Y","P","2","319","Y","U","H.S.","NIL","","","","","","","","","","","","","","","","","","","","",""
"JebuNIL bi","43	","F","OBC","89","Y","P","15","49","Y","M ","P","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"ASHA","43","F","UR","89","Y","P","6","54","Y","M ","H.S.","SERVICE","","","","","","","","","","","","","","","","","","","","",""
"AnjaNIL","37","F","UR","2","Y","P","9","254","Y","M ","S ","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"SMT USHA GI","36","F","OBC","5","Y","A","NULL","2014","Y","M ","P","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"Ashok KuP.G..r BhanPiya","52","M","OBC","5","W","P","3","NULL","NULL","M ","NIL","NIL","","","","","","","","","","","","","","","","","","","","",""
"SARITA","37","F","SC","1","W","P","20","NULL","NULL","M ","P ","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"NILzP.G..Ika Beluta","38","F","OBC","5","Y","P","46","1642","Y","M ","NIL","NIL","","","","","","","","","","","","","","","","","","","","",""
"Shri Mohammed Saeed","45","M","OBC","5","Y","P","16","781","Y","M ","L","BUSINESS","","","","","","","","","","","","","","","","","","","","",""
"GUNIYA ","68","F","SC","5","Y","P","6","290","Y","M ","ILL","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"Gsant Gelani ","44","M","UR","2","W","P","21","NULL","NULL","M ","P","BUSINESS ","","","","","","","","","","","","","","","","","","","","",""
"Ganesh Dhakad","29","M","OBC","2","Y","P","1","190","Y","M ","H.S. ","BUSINESS","","","","","","","","","","","","","","","","","","","","",""
"Dinesh Raj f/o Mulchand Raj","53","M","SC","2","Y","P","12","762","Y","M ","NIL","BUSINESS","","","","","","","","","","","","","","","","","","","","",""
"SATYA PRAKASH.S.ONI","35","M","OBC","48","Y","P","5","32","Y","M ","H.S.","SERVICE","","","","","","","","","","","","","","","","","","","","",""
"LILA GI","42","F","OBC","2","W","P","3","NULL","NULL","M ","S","NIL","","","","","","","","","","","","","","","","","","","","",""
"DR. SURENDRA KUP.G..R MISHRA","48","M","UR","89","Y","P","9","212","Y","M ","G","FARMER","","","","","","","","","","","","","","","","","","","","",""
"KOUSHALYA SAHU","24","F","UR","89","D","P","9","NULL","NULL","M ","P","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"GYANCHAND KORI","31	","M","SC","89","Y","P","10","191","Y","M ","H.S.","LABOUR. ","","","","","","","","","","","","","","","","","","","","",""
"AJAY GRASKAR","21","M","OBC","5","Y","P","11","531","Y","U","G","BUSINESS","","","","","","","","","","","","","","","","","","","","",""
"Rajesh KuP.G..r Julaniya ""Rinku""","37","M","UR","89","Y","A","NULL","68","Y","M ","P","BUSINESS","","","","","","","","","","","","","","","","","","","","",""
"Sheetal Shailendra","37","F","UR","5","Y","P","10","494","Y","M ","H.S.","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"Sitara","48","F","OBC","89","Y","P","36","655","Y","M ","NIL","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"Seetaram","40","M","OBC","2","Y","P","15","240","Y","M ","H.S. ","NIL","","","","","","","","","","","","","","","","","","","","",""
"LOKESH JAGDISH BHAWSAR","36","M","OBC","2","Y","P","3","1203","Y","M ","S","BUSINESS","","","","","","","","","","","","","","","","","","","","",""
"Anvari","31","F","UR","90","Y","P","21","121","Y","M ","L","BUSINESS","","","","","","","","","","","","","","","","","","","","",""
"OMVATI HUKUM SINGH PARP.G..R","57","F","UR","5","Y","P","31","958","Y","M ","NIL","NIL","","","","","","","","","","","","","","","","","","","","",""
"GYAN SINGH ","34","M","OBC","2","Y","P","3","353","Y","U","G","SERVICE","","","","","","","","","","","","","","","","","","","","",""
"AJAY GRASKAR","21","M","OBC","5","D","P","11","NULL","NULL","U","G","BUSINESS","","","","","","","","","","","","","","","","","","","","",""
"GEETA","35","F","OBC","2","W","P","28","NULL","NULL","M ","S","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"KOUSHALYA SAHU","24","F","UR","2","Y","P","9","154","Y","M ","P","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"URMILA DEVI ","62","F","UR","89","Y","P","15","174","Y","M ","NIL","NIL","","","","","","","","","","","","","","","","","","","","",""
"ROSHANJAHAN ","53","F","OBC","2","Y","P","14","297","Y","M ","S","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"surendra ","37","M","UR","2","W","P","7","NULL","NULL","M ","H.S.","BUSINESS","","","","","","","","","","","","","","","","","","","","",""
"RaP.G..Yadav","40","F","OBC","5","Y","P","14","40","Y","M ","P","LABOUR","","","","","","","","","","","","","","","","","","","","",""
"SMT. SANJEEDA BEE ","57","F","UR","5","W","P","13","NULL","NULL","M ","P","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"VIMLA GI","31","F","OBC","5","W","P","10","NULL","NULL","M ","P","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"SMT RUFARANI ","34","F","UR","89","Y","P","3","182","Y","M ","P","FARMER","","","","","","","","","","","","","","","","","","","","",""
"RajkuP.G..r Tamrakar","48","M","OBC","2","Y","P","12","78","Y","M ","H.S.","LABOUR","","","","","","","","","","","","","","","","","","","","",""
"NILGESHWAR PRASAD TIWARI","37","M","UR","89","Y","P","9","57","Y","M ","H.S.","SERVICE","","","","","","","","","","","","","","","","","","","","",""
"kallu","40","M","OBC","5","W","P","8","NULL","NULL","M ","P","NIL","","","","","","","","","","","","","","","","","","","","",""
"Ashok Vardichandra","40","M","UR","89","W","P","4","NULL","NULL","M ","S","BUSINESS","","","","","","","","","","","","","","","","","","","","",""
"NILgeeNIL Gno","28","F","UR","5","Y","P","22","883","Y","M ","L","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"SONILM JAIN","32","F","UR","89","Y","P","12","15","Y","M ","L","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"RACHNIL AMRISH.S.HRIVASTAVA","35","F","UR","6","Y","P","13","98","Y","M ","H.S.","JOURNILIST ","","","","","","","","","","","","","","","","","","","","",""
"Gbulal VerP.G..","41","M","SC","5","Y","P","2","220","Y","M ","S ","SERVICE","","","","","","","","","","","","","","","","","","","","",""
"JAGDISH PRASAD GUPTA","56","M","UR","2","Y","P","5","128","Y","M ","H.S. ","FARMER","","","","","","","","","","","","","","","","","","","","",""
"KuldeeP Rawat","27","M","UR","89","Y","P","25","231","Y","M ","P","BUSINESS","","","","","","","","","","","","","","","","","","","","",""
"PRAMOD TOP.G..R","21","M","UR","89","Y","P","17","3","Y","M ","NIL","NIL","","","","","","","","","","","","","","","","","","","","",""
"MUJEEM RAYEEN","40","M","OBC","2","Y","P","16","455","Y","M ","NIL","NIL","","","","","","","","","","","","","","","","","","","","",""
"Sonu","32","M","OBC","2","W","P","16","NULL","NULL","U","P.G..","NIL","","","","","","","","","","","","","","","","","","","","",""
"SatyaNILrayan ","26","M","OBC","89","Y","P","11","52","Y","M ","NIL","NIL","","","","","","","","","","","","","","","","","","","","",""
"Sangeeta Gi","47","F","UR","5","Y","P","14","193","Y","M ","P","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"Sheikh Hakim","48","M","UR","89","W","P","46","NULL","NULL","M ","P","NIL","","","","","","","","","","","","","","","","","","","","",""
"Laxmi","39","F","SC","89","Y","P","24","445","Y","M ","L","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"MubeeNIL Khatoon","35","F","OBC","1","Y","P","36","310","Y","M ","NIL ","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"SATENDRA TIWARI ADVOCATE","40	","M","UR","10","Y","P","9","107","Y","M ","PG","SERVICE","","","","","","","","","","","","","","","","","","","","",""
"rashid  khan","48","M","OBC","2","Y","P","8","207","Y","M ","P","LABOUR","","","","","","","","","","","","","","","","","","","","",""
"P.G..NJULA SUNIL SHINDE","34","F","UR","89","Y","P","19","26","Y","M ","NIL","NIL","","","","","","","","","","","","","","","","","","","","",""
"Kamlesh kuP.G..r","42","M","OBC","89","D","P","6","NULL","NULL","M ","LLB","FARMER","","","","","","","","","","","","","","","","","","","","",""
"DWARIKA PRASAD KOL","32","M","ST","89","Y","P","13","97","Y","M ","S ","NIL","","","","","","","","","","","","","","","","","","","","",""
"KISHORILAL","42","M","OBC","5","W","P","32","NULL","NULL","M ","S","LABOUR","","","","","","","","","","","","","","","","","","","","",""
"P.G..NJU JAIN","46","F","UR","2","Y","P","12","207","Y","M ","P","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"anuradha ","42","F","UR","5","Y","P","3","480","Y","M ","P.G.","NIL","","","","","","","","","","","","","","","","","","","","",""
"SHRIP.G..TI AMITA SINGH","38","F","OBC","10","Y","P","10","1116","Y","M ","G","FORMER","","","","","","","","","","","","","","","","","","","","",""
"KEERTI GUPTA","40","F","UR","2","Y","P","4","158","Y","M ","G.","NIL","","","","","","","","","","","","","","","","","","","","",""
"NILVEEN PANDAY","30","M","UR","5","D","P","17","NULL","NULL","U","NIL","NIL","","","","","","","","","","","","","","","","","","","","",""
"Janki Prasad Kushwaha","40","M","OBC","89","Y","P","25","176","Y","M ","G","SERVICE","","","","","","","","","","","","","","","","","","","","",""
"PRADEEP KUP.G..R PANDA","50","M","UR","89","Y","P","14","9","Y","M ","P.G.","SERVICE","","","","","","","","","","","","","","","","","","","","",""
"Rajkishori ","35","F","OBC","10","Y","P","36","73","Y","M ","H.S. ","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"mithlesh kuP.G..ri ","57","F","UR","2","Y","P","9","832","Y","M ","NIL","NIL","","","","","","","","","","","","","","","","","","","","",""
"Suresh kuP.G..r","39","M","OBC","2","Y","P","13","872","Y","M ","H.S.","NIL","","","","","","","","","","","","","","","","","","","","",""
"SANGITA","40","F","OBC","2","R","P","4","NULL","NULL","M ","H.S.","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"SHEELA YADAV","51","F","OBC","89","Y","P","12","285","Y","M ","NIL","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"DHEERENDRA SINGH ( PAPPU)","40","M","OBC","5","Y","P","37","555","Y","M ","H.S.","LABOUR ","","","","","","","","","","","","","","","","","","","","",""
"DheeP.G..r kallu","57","F","OBC","89","Y","P","15","87","Y","M ","L","LABOUR","","","","","","","","","","","","","","","","","","","","",""
"Gbu Lal","58","M","SC","2","W","P","12","NULL","NULL","M ","NIL","NIL","","","","","","","","","","","","","","","","","","","","",""
"shaP.G..khatoon ","32","F","UR","89","Y","P","14","81","Y","M ","S","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"LALITI SAKET ","45","F","SC","5","R","P","9","NULL","NULL","M ","L ","NIL","","","","","","","","","","","","","","","","","","","","",""
"Samim bi","39	","F","OBC","5","Y","P","12","274","Y","M ","H.S.","NIL","","","","","","","","","","","","","","","","","","","","",""
"VIJAY SINGH","41","M","SC","2","W","P","4","NULL","NULL","M ","L","BUSINESS","","","","","","","","","","","","","","","","","","","","",""
"RAMMOORTI ","38","F","SC","10","Y","P","11","57","Y","M ","L","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"KAMLESH KUP.G..R","43","M","SC","89","W","P","26","NULL","NULL","M ","H.S.","FARMER","","","","","","","","","","","","","","","","","","","","",""
"MUKESH GARG","32","M","SC","89","Y","P","39","735","Y","M ","G","BUSINESS","","","","","","","","","","","","","","","","","","","","",""
"RAKHI OR MONIKA","32","F","UR","2","R","P","13","NULL","NULL","M ","L","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"Sheela Devi ","46","F","SC","1","Y","P","25","1062","Y","M ","S","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"P.G..MTA","37","F","SC","5","D","P","11","NULL","NULL","M ","L","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"RAJENDRA PRASAD PATEL","43","M","OBC","5","D","P","43","NULL","NULL","M ","G","NIL","","","","","","","","","","","","","","","","","","","","",""
"IRFAAN ","33","M","OBC","5","W","P","24","NULL","NULL","M ","NIL","NIL","","","","","","","","","","","","","","","","","","","","",""
"VIVEK SHIVHARE","22","M","OBC","89","Y","P","33","51","Y","M ","P","NIL","","","","","","","","","","","","","","","","","","","","",""
"PRAMOD KUP.G..R GNSAL","47","M","SC","1","Y","P","4","562","Y","M ","L","BUSINESS","","","","","","","","","","","","","","","","","","","","",""
"MUNNI DEVI","40","F","SC","1","Y","P","7","192","Y","M ","L","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"ALKA","38","F","UR","5","Y","P","12","956","Y","M ","H.S.","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"ANEESH","34","M","OBC","2","D","P","18","NULL","NULL","M ","G","BUSINESS","","","","","","","","","","","","","","","","","","","","",""
"REENIL DEVI","27","F","UR","89","Y","P","1","13","Y","M ","S","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"GEETA","42","F","UR","89","D","P","1","NULL","NULL","M ","P","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"POOJA DEVI","27","F","SC","2","Y","P","11","662","Y","M ","L","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"P.G..MTA","37","F","SC","89","Y","P","11","427","Y","M ","L","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"UP.G..Kewat ","30","F","OBC","89","Y","P","25","257","Y","M ","NIL","NIL","","","","","","","","","","","","","","","","","","","","",""
"Ram GoPal Dube","54","M","UR","89","Y","P","1","155","Y","M ","G","FARMER","","","","","","","","","","","","","","","","","","","","",""
"P.G..noj Singh ","30","M","OBC","5","Y","P","33","438","Y","M ","H.S. ","SERVICE","","","","","","","","","","","","","","","","","","","","",""
"MO. SAMEEM ","26","M","OBC","89","R","P","24","NULL","NULL","M ","NIL","NIL","","","","","","","","","","","","","","","","","","","","",""
"Arti Singh","26","F","UR","5","W","P","25","NULL","NULL","M ","NIL","NIL","","","","","","","","","","","","","","","","","","","","",""
"MUNNI DEVI ","57","F","UR","89","Y","P","3","NULL","NULL","M ","L","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"MUNNI LAL ","52","M","OBC","1","Y","P","26","562","Y","M ","H.S.","LABOUR","","","","","","","","","","","","","","","","","","","","",""
"ASHA","54","F","UR","5","D","P","3","NULL","NULL","M ","S","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"P.G..YA DEVI","46","F","SC","89","Y","P","11","145","Y","M ","L","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"ANIL KuP.G..r","27","M","OBC","1","Y","P","34","108","Y","M ","NIL","NIL","","","","","","","","","","","","","","","","","","","","",""
"FORIGI ","28","F","OBC","5","R","P","15","NULL","NULL","M ","I.L.","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"RAMDAS GAJBHIYE","65","M","SC","89","W","P","3","NULL","NULL","M ","H.S.","PENSION","","","","","","","","","","","","","","","","","","","","",""
"Kehar yadav","24","M","OBC","89","Y","P","1","161","Y","U","S","FARMER","","","","","","","","","","","","","","","","","","","","",""
"DILAWAR KHAN","44","M","UR","5","W","P","27","NULL","NULL","M ","P","NIL","","","","","","","","","","","","","","","","","","","","",""
"LATIF HUSSAIN KAMRED ","55","M","UR","89","Y","P","16","273","Y","M ","S ","NIL","","","","","","","","","","","","","","","","","","","","",""
"P.G..dan Pateriya","40","M","UR","2","W","P","22","NULL","NULL","M ","S ","NIL","","","","","","","","","","","","","","","","","","","","",""
"SHRIKANT SHUKLA","35","M","UR","89","Y","P","7","186","Y","M ","G.","BUSINESS","","","","","","","","","","","","","","","","","","","","",""
"amindas tandiya urf dau","37","M","OBC","5","Y","P","3","237","Y","M ","P ","LABOUR","","","","","","","","","","","","","","","","","","","","",""
"RAJIV KUP.G..R ","400","M","OBC","89","Y","P","12","69","Y","M ","G. ","BUSINESS","","","","","","","","","","","","","","","","","","","","",""
"SUSHILA GI","42","F","OBC","5","Y","P","5","443","Y","M ","ILL","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"LAKSHMI DEVI","34","F","SC","1","Y","P","3","249","Y","M ","P","NIL","","","","","","","","","","","","","","","","","","","","",""
"KAMLA DEVI","44","F","UR","1","Y","A","NULL","1941","Y","M ","S","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"GULAM MOHAMP.G..D","54","M","OBC","5","W","P","18","NULL","NULL","M ","P","FARMER","","","","","","","","","","","","","","","","","","","","",""
"TAHASIM BEE MUNNIL KURESHI","25","F","OBC","5","Y","P","11","591","Y","M ","NIL","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"ABHISHEK SHARP.G..","31","M","UR","2","Y","P","9","461","Y","M ","G. ","FARMER","","","","","","","","","","","","","","","","","","","","",""
"PRATIBHA PREM RATHOR","34","F","OBC","89","Y","P","11","208","Y","M ","G","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"Rajaram Belwanshi","42","M","SC","2","Y","P","13","228","Y","M ","L.L.B","ADVOCATE","","","","","","","","","","","","","","","","","","","","",""
"Geeta Singh ","43","F","OBC","89","Y","P","25","304","Y","M ","P ","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"Shyamkishor","54","M","UR","5","Y","P","16","517","Y","M ","G ","NIL","","","","","","","","","","","","","","","","","","","","",""
"SANTOSH","36","M","OBC","89","Y","P","11","31","Y","M ","NIL","NIL","","","","","","","","","","","","","","","","","","","","",""
"RUPESH VERP.G..","23","M","OBC","89","Y","P","22","1148","Y","M ","P ","UNEMPLOYED ","","","","","","","","","","","","","","","","","","","","",""
"ASHA SINGH","36","F","UR","2","W","P","13","NULL","NULL","M ","H.S.","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"VINOD KAPUR","54","M","UR","5","Y","A","NULL","1950","Y","M ","S","FARMER","","","","","","","","","","","","","","","","","","","","",""
"KAMLA YADAV","52","F","OBC","5","Y","P","8","440","Y","M ","P","PENSION","","","","","","","","","","","","","","","","","","","","",""
"Gno","45","F","OBC","2","Y","P","7","384","Y","M ","P","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"PREM SHANKAR MISHRA ","71","M","UR","89","Y","P","9","19","Y","M ","H.S.","PENSION","","","","","","","","","","","","","","","","","","","","",""
"P.G..NOJ PAWAR ","36","M","OBC","5","W","P","25","NULL","NULL","M ","G.","BUSINESS","","","","","","","","","","","","","","","","","","","","",""
"RAJENDRA","43","M","SC","2","W","P","20","NULL","NULL","M ","P","LABOUR","","","","","","","","","","","","","","","","","","","","",""
"ram dhiraj kushwaha","39","M","OBC","5","D","P","9","NULL","NULL","M ","S","BUSINESS","","","","","","","","","","","","","","","","","","","","",""
"MUGRAK ALI","37","M","OBC","1","Y","P","13","201","Y","M ","P ","BUSINESS","","","","","","","","","","","","","","","","","","","","",""
"DILIP ","43","M","SC","5","W","A","NULL","NULL","NULL","M ","P","BUSINESS","","","","","","","","","","","","","","","","","","","","",""
"ANGURI","56","F","OBC","2","W","P","10","NULL","NULL","M ","ILL","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"Pankaj SharP.G..","41","M","UR","2","Y","A","NULL","3119","Y","M ","G","FARMER","","","","","","","","","","","","","","","","","","","","",""
"Santoshrani Pati Purushottam","62","F","UR","2","Y","P","3","426","Y","M ","P ","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"RAJESH URF PAPPU P.G..SAB","30","M","ST","89","Y","P","1","160","Y","M ","G ","LABOUR","","","","","","","","","","","","","","","","","","","","",""
"Aslam","32","M","OBC","1","Y","P","11","184","Y","M ","S ","BUSINESS","","","","","","","","","","","","","","","","","","","","",""
"Arvindra Ahirwar","22","M","SC","89","Y","P","14","65","Y","U","ILL","LABOUR","","","","","","","","","","","","","","","","","","","","",""
"MUKESH DANDIR","52","M","UR","2","W","P","18","NULL","NULL","M ","NIL","NIL","","","","","","","","","","","","","","","","","","","","",""
"RAJKUP.G..RI","38","F","SC","89","Y","P","12","5","Y","M ","ILL","LABOUR","","","","","","","","","","","","","","","","","","","","",""
"RACHNIL","35","F","OBC","2","W","P","18","NULL","NULL","M ","NIL","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"Roshanlal GuPta","48","M","UR","89","W","P","2","NULL","NULL","M ","G","BUSINESS","","","","","","","","","","","","","","","","","","","","",""
"RAMKISHAN SEN","52","M","OBC","89","D","P","3","NULL","NULL","M ","L ","BUSINESS","","","","","","","","","","","","","","","","","","","","",""
"Ragini jaiPrakash yadav","43","F","UR","5","Y","P","29","1264","Y","M ","S","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"BHAGWAT PRASAD","43","M","OBC","2","D","P","14","NULL","NULL","M ","H.S.","NIL","","","","","","","","","","","","","","","","","","","","",""
"saiyad afjal ali","38","M","UR","5","Y","P","8","223","Y","M ","G","FARMER","","","","","","","","","","","","","","","","","","","","",""
"NILajis","26","F","OBC","5","Y","P","14","261","Y","M ","NIL","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"Jameel AhP.G..d","27","M","UR","89","Y","P","10","45","Y","M ","H.S. ","BUSINESS","","","","","","","","","","","","","","","","","","","","",""
"Harendra Singh","34","M","UR","89","Y","P","7","110","Y","M ","G","FARMER","","","","","","","","","","","","","","","","","","","","",""
"Mo. Mujahid Khan","43","M","OBC","5","Y","P","11","388","Y","M ","H.S.","SERVICE","","","","","","","","","","","","","","","","","","","","",""
"SUNITA KHANDELWAL","48","F","UR","89","Y","P","3","149","Y","M ","H.S.","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"Sangita  Murlidhar Ghatode","31","F","OBC","2","Y","P","3","152","Y","M ","S","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"SONIL PATEL","25","F","UR","3","Y","P","47","64","Y","M ","P.G..","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"NILndkishore P.G..hwer ""NILndu Pahelwan""","55","M","OBC","2","W","A","NULL","NULL","NULL","M ","P","FARMER","","","","","","","","","","","","","","","","","","","","",""
"RADHESHYAM PANDEY ","47","M","UR","5","Y","P","4","73","Y","U","P","NIL","","","","","","","","","","","","","","","","","","","","",""
"GDROON NISHA","34","F","OBC","1","Y","P","7","154","Y","M ","P","NIL","","","","","","","","","","","","","","","","","","","","",""
"SHRIP.G..TI GEETA KUSHWAH","43","F","OBC","2","W","P","7","NULL","NULL","M ","P ","NIL","","","","","","","","","","","","","","","","","","","","",""
"SHANKAR LAL","46","M","UR","89","R","P","9","NULL","NULL","M ","P","NIL","","","","","","","","","","","","","","","","","","","","",""
"ANIL","27","M","OBC","5","Y","P","1","193","Y","M ","S","NIL","","","","","","","","","","","","","","","","","","","","",""
"POONILM SANSIYA","31","F","SC","5","Y","P","5","135","Y","U","S","LABOUR","","","","","","","","","","","","","","","","","","","","",""
"DHIRAJ SINGH KUSHWAH","36","M","OBC","89","Y","P","29","162","Y","M ","P","NIL","","","","","","","","","","","","","","","","","","","","",""
"kaPoordas tandiya","46","M","OBC","5","Y","P","4","395","Y","M ","S","LABOUR","","","","","","","","","","","","","","","","","","","","",""
"RamPrasad ","40","M","OBC","2","W","P","9","NULL","NULL","M ","G ","NIL","","","","","","","","","","","","","","","","","","","","",""
"PISTA","38","F","OBC","2","Y","P","15","487","Y","M ","NIL","NIL","","","","","","","","","","","","","","","","","","","","",""
"SANJAY","43","M","OBC","5","Y","P","5","531","Y","M ","H.S.","LABOUR","","","","","","","","","","","","","","","","","","","","",""
"ATEEK GORYAN","34","M","OBC","89","Y","P","16","497","Y","M ","P","SERVICE","","","","","","","","","","","","","","","","","","","","",""
"brijlal raikwar","32","M","OBC","89","Y","P","4","43","Y","M ","S","LABOUR  ","","","","","","","","","","","","","","","","","","","","",""
"HARDEV ","60","M","OBC","5","W","P","8","NULL","NULL","M ","P","FARMER","","","","","","","","","","","","","","","","","","","","",""
"PRAMOD KUP.G..R VATHAV","45","M","OBC","2","W","P","14","NULL","NULL","M ","G ","LABOUR","","","","","","","","","","","","","","","","","","","","",""
"SHYAMLAL SHAKYA","47","M","SC","2","Y","P","13","483","Y","M ","P","BUSINESS","","","","","","","","","","","","","","","","","","","","",""
"Ashok","50","M","UR","2","Y","P","22","393","Y","U","P.G..","NIL","","","","","","","","","","","","","","","","","","","","",""
"SaPNIL Awasthi","31","F","UR","5","Y","P","13","327","Y","M ","G","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"ruPali ravi awadhiya ","31","F","OBC","5","Y","P","9","204","Y","M ","P.G..","UNEMPLOYED","","","","","","","","","","","","","","","","","","","","",""
"Rajesh KuP.G..r Kori","35","M","SC","89","Y","A","NULL","248","Y","M ","H.S.","LABOUR ","","","","","","","","","","","","","","","","","","","","",""
"Rajesh KuP.G..r Kori","35","M","SC","89","D","A","NULL","NULL","NULL","M ","H.S.","LABOUR ","","","","","","","","","","","","","","","","","","","","",""
"NILJP.G..BEGAM (GDE GUDDU)","31","F","UR","5","Y","P","5","181","Y","M ","H.S.","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"VIMLA","38","F","SC","89","Y","P","3","155","Y","M ","P ","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"LATA","35","F","OBC","89","Y","P","6","194","Y","M ","H.S. ","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"DeePak ","35","M","OBC","5","D","P","22","NULL","NULL","M ","NIL","NIL","","","","","","","","","","","","","","","","","","","","",""
"SHEELA","47","F","OBC","2","Y","P","4","549","Y","M ","L","FARMER","","","","","","","","","","","","","","","","","","","","",""
"Santosh KuP.G..r Soni","51","M","OBC","1","Y","A","NULL","1425","Y","M ","P.G..","SERVICE","","","","","","","","","","","","","","","","","","","","",""
"VINILY SINGH ","22","M","UR","89","D","P","14","NULL","NULL","M ","H.S.","LABOUR","","","","","","","","","","","","","","","","","","","","",""
"JAGDISH.S.INGH ","55","M","UR","1","Y","P","27","434","Y","M ","P","BUSINESS","","","","","","","","","","","","","","","","","","","","",""
"SMT- SANGITA P.G..LI ","40","F","OBC","2","W","A","NULL","NULL","NULL","M ","P","NIL","","","","","","","","","","","","","","","","","","","","",""
"PRITAM SINGH","58","M","OBC","2","Y","P","4","404","Y","M ","P","FARMER","","","","","","","","","","","","","","","","","","","","",""
"DEEPCHAND","34","M","SC","2","W","P","9","NULL","NULL","M ","NIL","BUSINESS","","","","","","","","","","","","","","","","","","","","",""
"CHANDRAKLA","35","F","OBC","5","W","A","NULL","NULL","NULL","M ","P","FARMER","","","","","","","","","","","","","","","","","","","","",""
"Anita SharP.G..","43","F","UR","5","R","A","NULL","NULL","NULL","M ","S","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"irsad ahP.G..d ","45","M","OBC","5","Y","P","10","483","Y","M ","NIL","NIL","","","","","","","","","","","","","","","","","","","","",""
